,SetKey,State_size,Encrypt,Decrypt,AddAuthData,ComputeTag
Ascon128,23366.12,72.0,364054.19,363495.94,372691.06,23946.93
AESTiny AES-128-ECB,957395.88,20.0,176948.09,,,
AESTiny AES-256-ECB,797639.0,36.0,129752.38,,,
GCM AES-128,5791.63,312.0,143416.72,143733.34,441382.34,23705.11
GCM AES-192,4829.19,344.0,125345.92,125576.87,441382.34,23705.67
GCM AES-256,4082.07,376.0,112126.67,112311.05,441446.28,23706.79
GCM-Speck-256,19821.21,408.0,327905.81,329798.31,441434.09,23703.98
GCM-SpeckTiny-256,15250.88,168.0,237054.59,238047.42,441382.34,23706.23
ChaChaPoly,26612.73,240.0,969315.13,969300.44,2237684.0,
Acorn128,6185.82,64.0,1453422.38,1410623.75,1301156.75,8646.63
Speck-128-ECB,569800.56,288.0,594853.06,550452.38,,
Speck-192-ECB,419903.44,80.0,576107.38,532832.5,,
Speck-256-ECB,357232.16,48.0,558479.81,515659.94,,
ChaCha20,209687.56,136.0,1732117.25,1726463.5,,
ChaCha12,209907.64,136.0,2238153.5,2228334.75,,
ChaCha8,209643.61,136.0,2620695.25,2607137.0,,
AES-128-ECB,42749.11,188.0,216789.25,101310.58,,
AES-192-ECB,40578.98,220.0,180047.98,83473.67,,
AES-256-ECB,30863.24,252.0,153977.63,70976.16,,
AESSmall AES-128-ECB,53802.2,36.0,176109.44,91095.94,,
AESSmall AES-256-ECB,37186.61,68.0,127934.91,64545.75,,
AES-128-CTR,,,202749.8,202693.28,,
