,SetKey,State_size,Encrypt,Decrypt,AddAuthData,ComputeTag
Ascon128,65078.75,72.0,1007905.76,1015953.65,1030811.6,68394.77
AESTiny AES-128-ECB,4108463.43,20.0,457621.4,,,
AESTiny AES-256-ECB,3439972.48,36.0,327624.48,,,
GCM AES-128,13544.08,312.0,281413.93,281027.15,661874.97,37089.24
GCM AES-192,11400.3,344.0,252323.15,253088.47,659984.33,37031.55
GCM AES-256,8514.19,376.0,228978.68,229477.87,657894.74,37344.09
GCM-Speck-256,41619.84,408.0,512114.71,508574.24,660590.61,37896.01
GCM-SpeckTiny-256,37167.81,168.0,423496.09,406602.2,618620.48,37643.52
ChaChaPoly,47828.58,240.0,1637079.86,1693793.83,4018838.3,
Acorn128,17050.01,64.0,3489069.4,3363641.14,3651509.1,24094.64
Speck-128-ECB,1676445.93,288.0,1389154.18,1432433.88,,
Speck-192-ECB,1109631.6,80.0,1363628.62,1389516.1,,
Speck-256-ECB,805282.65,48.0,1324788.45,1339786.64,,
ChaCha20,1351351.35,136.0,2841539.76,2914522.52,,
ChaCha12,1283697.05,136.0,3968253.97,3892944.04,,
ChaCha8,1379310.34,136.0,4883632.2,4746366.06,,
AES-128-ECB,111177.82,188.0,475014.25,314995.35,,
AES-192-ECB,104899.87,220.0,426071.3,259311.72,,
AES-256-ECB,85920.25,252.0,363662.81,213749.43,,
AESSmall AES-128-ECB,135067.6,36.0,463416.19,293469.21,,
AESSmall AES-256-ECB,106522.36,68.0,327217.1,199355.09,,
AES-128-CTR,,,473838.91,473369.28,,
