,BLAKE2b,SHA256,SHAKE128,SHA384,BLAKE2s,SHA224,SHAKE256,SHA512,GHASH,SHA3_512,Poly1305,SHA3_256
State_size,224.0,120.0,232.0,224.0,120.0,120.0,232.0,224.0,36.0,224.0,60.0,224.0
Hashing,2978031.29,2483411.59,,1839067.45,3889749.9,2356580.01,,1836158.19,668215.4,341276.91,4015308.36,633293.42
Keyed Reset,23152.44,,,,42224.38,,,,,,,
Finalize,23081.36,36659.58,,13996.39,43414.08,37298.12,,13901.83,4366812.23,4795.36,180897.25,4516.02
HMAC Reset,,36863.64,,,587544.07,36520.34,,,,,,
HMAC Finalize,,12002.06,,,18683.21,12062.0,,,,,,
Updating,,,769693.33,,,,632718.46,,,,,
Extending,,,802080.4,,,,650026.66,,,,,
Encrypt,,,775334.67,,,,634417.13,,,,,
Set Key,,,,,,,,,1782531.19,,2597402.6,
