,BLAKE2b,SHA256,SHAKE128,SHA384,BLAKE2s,SHA224,SHAKE256,SHA512,GHASH,SHA3_512,Poly1305,SHA3_256
State_size,224.0,120.0,232.0,224.0,120.0,120.0,232.0,224.0,36.0,224.0,60.0,224.0
Hashing,697829.25,1307162.88,,424620.13,1100952.13,1307136.13,,424653.44,441364.09,,2247625.0,274272.0
Keyed Reset,5406.4,,,,16227.44,,,,,,,
Finalize,5478.07,19526.67,,3305.73,16702.3,19463.58,,3304.85,1239157.38,,85521.25,2066.15
HMAC Reset,,18415.53,,,132961.05,18472.34,,,,,,
HMAC Finalize,,6246.37,,,5376.55,6215.39,,,,,,
Updating,,,335806.69,,,,274117.31,,,,,
Extending,,,346662.69,,,,281306.31,,,,,
Encrypt,,,336414.22,,,,274506.31,,,,,
Set Key,,,,,,,,,380083.63,,362844.69,
HMAC-SHA3-512 keysize=73,,,,,,,,,,2064.67,,
